Date,StartTime,EndTime,Rank,Name,NSA,Round,Speed_kmh,Distance_m,PointsDist,JudgeTotal,Gate,GatePts,WindMS,WindPts,RoundTotal,RoundRank,OverallPoints,BaseWind,BaseGate,BaseLength,WeatherDesc,AirTempStart,AirTempFinish,TrackTempStart,TrackTempFinish,HumidityStart,HumidityFinish,TanWindMin,TanWindMax,TanWindAvg,Location,HillSize_m,KPoint_m,MeterValue_pts_per_m,GateFactor_pts_per_m,HeadWindFactor,TailWindFactor,SourceFile
20 MAR 2021,17:00,17:38,1,KRAMER Marita,AUT,1.0,85.5,96.5,73.0,48.5,14.0,,0.48,-3.8,117.7,1,232.1,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,1,KRAMER Marita,AUT,2.0,85.7,96.0,72.0,49.5,15.0,-4.8,0.29,-2.3,114.4,1,232.1,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,2,TAKANASHI Sara,JPN,1.0,84.7,92.5,65.0,52.0,14.0,,0.77,-6.2,110.8,4,224.1,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,2,TAKANASHI Sara,JPN,2.0,85.3,95.5,71.0,51.5,15.0,-4.8,0.55,-4.4,113.3,2,224.1,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,3,KRIZNAR Nika,SLO,1.0,84.8,94.0,68.0,52.0,14.0,,0.96,-7.7,112.3,3,218.1,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,3,KRIZNAR Nika,SLO,2.0,85.5,94.0,68.0,50.0,15.0,-4.8,0.93,-7.4,105.8,5,218.1,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,4,OPSETH Silje,NOR,1.0,85.3,90.5,61.0,51.0,14.0,,0.47,-3.8,108.2,6,215.9,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,4,OPSETH Silje,NOR,2.0,86.0,93.0,66.0,49.5,15.0,-4.8,0.38,-3.0,107.7,3,215.9,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,5,HOELZL Chiara,AUT,1.0,84.9,93.5,67.0,52.5,14.0,,0.89,-7.1,112.4,2,214.9,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,5,HOELZL Chiara,AUT,2.0,84.9,89.5,59.0,53.0,15.0,-4.8,0.59,-4.7,102.5,9,214.9,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,6,MARUYAMA Nozomi,JPN,1.0,84.8,95.0,70.0,49.5,14.0,,1.16,-9.3,110.2,5,209.8,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:53,18:27,6,MARUYAMA Nozomi,JPN,2.0,85.2,89.5,59.0,51.0,15.0,-4.8,0.7,-5.6,99.6,14,209.8,0.00,14,78.41,snowfall,-3.5,-3.9,-6.0,-6.0,94,94,-0.90,1.14,0.45,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
20 MAR 2021,17:00,17:38,7,BJOERSETH Thea Minyan,NOR,1.0,84.7,93.5,67.0,52.5,14.0,,1.44,-11.5,108.0,7,209.4,0.00,14,78.41,lightly snowfall,-2.8,-3.3,-6.0,-6.0,93,94,-0.55,1.53,0.72,Nizhny Tagil,97.0,90.0,2.0,7.0,8.0,9.68,2021JP3031RL.pdf
