SourceFile,Date,StartTime,EndTime,Rank,Name,NSA,Round,Speed_kmh,Distance_m,PointsDist,JudgeTotal,Gate,GatePts,WindMS,WindPts,RoundTotal,RoundRank,OverallPoints,BaseWind,BaseGate,BaseLength,WeatherDesc,AirTempStart,AirTempFinish,TrackTempStart,TrackTempFinish,HumidityStart,HumidityFinish,TanWindMin,TanWindMax,TanWindAvg,Location,HillSize_m,KPoint_m,MeterValue_pts_per_m,GateFactor_pts_per_m,HeadWindFactor,TailWindFactor
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,1,GEIGER Karl,GER,1.0,92.0,127.0,72.6,54.0,16.0,,-1.01,13.2,139.8,1,291.1,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,1,GEIGER Karl,GER,2.0,91.0,136.5,89.7,56.0,15.0,8.1,0.23,-2.5,151.3,3,291.1,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,2,STOCH Kamil,POL,1.0,91.0,125.0,69.0,55.0,16.0,,-0.92,12.0,136.0,4,288.3,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,2,STOCH Kamil,POL,2.0,90.4,132.5,82.5,57.0,15.0,8.1,-0.36,4.7,152.3,2,288.3,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,3,LINDVIK Marius,NOR,1.0,91.1,126.5,71.7,55.0,16.0,,-0.9,11.8,138.5,2,285.2,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,3,LINDVIK Marius,NOR,2.0,90.0,135.5,87.9,53.0,15.0,8.1,0.21,-2.3,146.7,6,285.2,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,4,GRANERUD Halvor Egner,NOR,1.0,91.1,122.0,63.6,54.0,16.0,,-1.04,13.6,131.2,9,280.1,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,4,GRANERUD Halvor Egner,NOR,2.0,90.5,131.0,79.8,55.5,15.0,8.1,-0.42,5.5,148.9,4,280.1,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,5,EISENBICHLER Markus,GER,1.0,91.7,118.0,56.4,52.0,16.0,,-1.02,13.3,121.7,27,274.3,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,5,EISENBICHLER Markus,GER,2.0,92.0,142.0,99.6,49.5,17.0,,-0.27,3.5,152.6,1,274.3,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,6,KRAFT Stefan,AUT,1.0,91.4,126.5,71.7,54.0,16.0,,-0.63,8.2,133.9,5,273.6,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,6,KRAFT Stefan,AUT,2.0,91.0,125.0,69.0,54.0,15.0,8.1,-0.66,8.6,139.7,8,273.6,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,7,STEKALA Andrzej,POL,1.0,91.4,123.0,65.4,52.5,16.0,,-0.63,8.2,126.1,19,273.3,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,7,STEKALA Andrzej,POL,2.0,91.5,136.5,89.7,56.5,17.0,,-0.08,1.0,147.2,5,273.3,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,8,ASCHENWALD Philipp,AUT,1.0,91.6,130.0,78.0,55.0,16.0,,-0.41,5.4,138.4,3,273.0,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,17:49,18:28,8,ASCHENWALD Philipp,AUT,2.0,90.9,127.0,72.6,54.0,15.0,8.1,0.01,-0.1,134.6,14,273.0,0.00,17,88.71,lightly snowfall,-1.3,-1.5,-4.7,-4.7,87,92,-0.71,0.23,-0.33,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
2021JP3005RL.pdf,29 DEC 2020,16:30,17:30,9,LANISEK Anze,SLO,1.0,91.8,120.5,60.9,52.5,16.0,,-0.97,12.7,126.1,19,270.1,0.00,16,88.21,partly cloudy,-0.5,-1.3,-4.7,-4.7,85,85,-1.11,-0.06,-0.57,Oberstdorf,137.0,120.0,1.8,8.1,10.8,13.07
