Group,side,Model,n_train_side,n_test_side,model_m_per_ms,model_pts_per_ms,official_pts_per_ms,gap_pts_per_ms,gap_pct,RMSE,R2,windpts_bias_mean,windpts_mae,windpts_iqr,abs_gap_pct
Large (110–184),head,Linear,1233,296,4.363079049817253,7.853542289671056,10.44,-2.5864577103289434,-24.774499141081836,7.444438921953025,0.3583247841756756,-1.754767849883368,1.766904745861751,1.9081385812291078,24.774499141081836
Ski Flying (≥185),head,RandomForest,40,8,7.593479749493639,9.112175699392367,14.4,-5.2878243006076335,-36.72100208755301,18.114392319692158,-0.01042388323330612,-4.220539879734588,4.220539879734588,4.586309337771047,36.72100208755301
Normal (85–109),tail,Linear,851,189,3.2368575786107328,6.4737151572214655,10.5,-4.0262848427785345,-38.345569931224134,4.685674553964467,0.17214998526650382,2.1476097397611515,2.1476097397611515,2.486828179250341,38.345569931224134
Normal (85–109),head,RandomForest,1039,283,2.1454527898620057,4.290905579724011,8,-3.7090944202759886,-46.36368025344986,3.758777921322248,0.4979650290594938,-2.156131998460019,2.156131998460019,2.4181840126724934,46.36368025344986
Ski Flying (≥185),tail,Linear,27,9,8.192442680551409,9.830931216661691,21.6,-11.76906878333831,-54.48642955249217,16.637768136207605,-0.10567787429807263,5.6250338978357055,5.6250338978357055,3.449029947168111,54.48642955249217
Large (110–184),tail,Linear,848,227,3.323753475819799,5.982756256475638,14.85,-8.867243743524362,-59.71207908097214,7.046718369361231,0.4559474263334913,4.27034145874947,4.27034145874947,5.218449434326937,59.71207908097214
Normal (85–109),head,Linear,1039,283,1.1291078301521822,2.2582156603043644,8,-5.741784339695636,-71.77230424619545,3.976020985209313,0.438256608592112,-3.4413953701241593,3.4413953701241593,3.9498828632641168,71.77230424619545
Ski Flying (≥185),tail,RandomForest,27,9,4.480938796105036,5.3771265553260434,21.6,-16.222873444673958,-75.10589557719425,16.630460865618357,-0.1047068650738181,7.748014119739031,7.748014119739031,4.74063329895545,75.10589557719425
Large (110–184),head,RandomForest,1233,296,10.267572058319416,18.48162970497495,10.44,8.04162970497495,77.02710445378304,7.336860353581169,0.3767363062885246,5.195857696922469,5.195857696922469,5.707691902333215,77.02710445378304
Normal (85–109),tail,RandomForest,851,189,0.3411507107822942,0.6823014215645884,10.5,-9.817698578435412,-93.50189122319439,4.2103908382371635,0.3315756805936232,4.931778268976939,4.931778268976939,5.845203260786414,93.50189122319439
Large (110–184),tail,RandomForest,848,227,-5.375450976901064,-9.675811758421915,14.85,-24.525811758421916,-165.1569815381947,6.5276324807964174,0.5331488541054754,12.141013751700179,12.141013751700179,13.565212702300489,165.1569815381947
Ski Flying (≥185),head,Linear,40,8,-10.107611360509146,-12.129133632610975,14.4,-26.529133632610975,-184.23009467090955,17.800619204786482,0.02427758124861723,-21.16048407200725,21.16048407200725,22.80073208996391,184.23009467090955
