Group,side,Model,n_train_side,n_test_side,model_m_per_ms,model_pts_per_ms,official_pts_per_ms,gap_pts_per_ms,gap_pct,RMSE,R2,windpts_bias_mean,windpts_mae,windpts_iqr,abs_gap_pct
Rasnov,tail,Linear,48,15,6.012056578660777,12.024113157321555,12,0.024113157321554723,0.2009429776796227,3.853886273720791,-0.16196066322115543,-0.20517814718194596,0.21070252969693287,0.1593902107785155,0.2009429776796227
Lillehammer,head,Linear,302,80,5.570436363830959,10.026785454895727,9.9,0.12678545489572635,1.2806611605628924,6.232194945536787,0.8126309316282806,0.2229331692455056,0.2229331692455056,0.12303549121032653,1.2806611605628924
Willingen,head,Linear,206,52,6.674862511644569,12.014752520960224,11.7,0.31475252096022466,2.690192486839527,10.853937116612126,0.24983718904231023,0.4519901647658601,0.4519901647658601,0.3334247940738049,2.690192486839527
Lillehammer,head,RandomForest,302,80,5.19890876751564,9.358035781528152,9.9,-0.5419642184718487,-5.474386045170189,6.3236344610385835,0.8070923933636719,-0.07222692964719998,0.34867212686210186,0.26481024011963755,5.474386045170189
Villach,head,Linear,79,17,4.23371458344666,8.46742916689332,8,0.4674291668933197,5.842864586166496,2.5429404346773983,0.4005351051490962,0.18156259322871626,0.18336561773825352,0.21034312510199382,5.842864586166496
Hinzenbach,head,Linear,348,88,3.822661683957208,7.645323367914416,7,0.6453233679144157,9.218905255920223,3.4740806226188377,0.10765335109643792,0.37798776242864485,0.37798776242864485,0.3914799649224444,9.218905255920223
Lahti,tail,Linear,78,19,7.48802065122845,13.47843717221121,14.85,-1.3715628277887895,-9.236113318443028,3.8492184870467283,0.18909182096284827,0.3683741004532246,0.3683741004532246,0.23909693727987014,9.236113318443028
Rasnov,head,Linear,95,20,3.5272415485438593,7.054483097087719,8,-0.9455169029122814,-11.818961286403518,3.5180003252799645,0.20396679281749885,-0.6106756488347372,0.6106756488347372,0.44466535985421063,11.818961286403518
Zao,tail,Linear,87,15,5.165667212477115,10.33133442495423,12,-1.66866557504577,-13.90554645871475,3.24045075748557,0.05362817939916642,0.6443337972178197,0.6443337972178197,0.4138530495118996,13.90554645871475
Zao,tail,RandomForest,87,15,4.873078409594136,9.746156819188272,12,-2.253843180811728,-18.7820265067644,3.536930479127832,-0.12746740364160747,0.8721629450626994,0.8721629450626994,0.5672684429151077,18.7820265067644
Villach,tail,Linear,108,29,4.788208169654618,9.576416339309237,12,-2.4235836606907633,-20.19653050575636,3.222892369954055,0.19773186141276722,0.9694334642763053,0.9694334642763053,1.0821409740970287,20.19653050575636
Zao,head,Linear,152,44,2.6479863247184734,5.295972649436947,8,-2.704027350563053,-33.80034188203817,3.843437607588449,0.1093201548589956,-1.8759826574370324,1.8759826574370324,2.2499031112257803,33.80034188203817
Engelberg,tail,RandomForest,138,34,5.466661114956075,9.839990006920935,15.66,-5.820009993079065,-37.16481477061983,6.563987327010814,0.02459528817089962,5.307467923109642,5.307467923109642,5.450009368511623,37.16481477061983
Sapporo,head,RandomForest,186,46,3.6407790553341,6.55340229960138,10.8,-4.24659770039862,-39.320349077765,6.203059689023124,0.15974177842870818,-2.3943306592466125,2.3943306592466125,2.594657585745151,39.320349077765
Nizhny Tagil,tail,RandomForest,29,10,2.904246699572326,5.808493399144652,9.68,-3.871506600855348,-39.99490290139823,4.290832728159,0.058729780110408636,1.3931338829087807,1.3931338829087807,2.3801703920367316,39.99490290139823
